Product_Code,Cust_ID,IPC (Internal Product Code)
KBI-SPRING ASS'Y(SW)-G951-A18-00-1.80mm,C_001,SPRING ASS'Y(SW)-G951-A18-00-1.80mm
KBI-Wire Spring(SW)-GZ471-A17-00-4.00mm,C_001,Wire Spring(SW)-GZ471-A17-00-4.00mm
vTitan-Heating Plate Spring-210-1080-01-0.55mm,C_031,Heating Plate Spring-210-1080-01-0.55mm
vTitan-Humidifire Spring-210-1081-01-0.60mm,C_031,Humidifire Spring-210-1081-01-0.60mm
WOORY-KY PE Blower-201502549 521-0.30mm,C_002,KY PE Blower-201502549 521-0.30mm
AVASARALA-Gas Actuator Spring-A304622-0.60mm,C_018,Gas Actuator Spring-A304622-0.60mm
AVASARALA-Spring-EL815-0.80mm,C_018,Spring-EL815-0.80mm
PLACKA-MAIN VALVE SPRING-1.00 mm * 27 mm-1.00mm,C_007,MAIN VALVE SPRING-1.00 mm * 27 mm-1.00mm
APPASWAMY-wire Instrument-PP-MPTS-007-1.00mm,C_016,wire Instrument-PP-MPTS-007-1.00mm
APPASWAMY-wire Instrument-PP-MPTS-008-1.00mm,C_016,wire Instrument-PP-MPTS-008-1.00mm
PRM Automotive-Horn Compression Spring-2 *9.4*21.6 mm-2.00mm,C_032,Horn Compression Spring-2 *9.4*21.6 mm-2.00mm
PLACKA-MAIN VALVE SPRING-1.20 mm * 20 mm-1.20mm,C_007,MAIN VALVE SPRING-1.20 mm * 20 mm-1.20mm
TI CLEAN MOBILITY-BRAKE ROD SPRING-7BSPCI08003-1.50mm,C_033,BRAKE ROD SPRING-7BSPCI08003-1.50mm
TI CLEAN MOBILITY-SPRING STEERING LOCK-7BFSST08012-1.00mm,C_033,SPRING STEERING LOCK-7BFSST08012-1.00mm
TI CLEAN MOBILITY-BRAKE SWITCH SPRING-7BSPCI08005-1.00mm,C_033,BRAKE SWITCH SPRING-7BSPCI08005-1.00mm
TI CLEAN MOBILITY-BRAKE RETRACTION SPRING-7BRBK08054-2.00mm,C_033,BRAKE RETRACTION SPRING-7BRBK08054-2.00mm
Rishaba-Clip Ring-2011300000 018-1.20mm,C_034,Clip Ring-2011300000 018-1.20mm
TI CLEAN MOBILITY-SPRING-7BSPCI08001-2.50mm,C_033,SPRING-7BSPCI08001-2.50mm
TM AUTOMOTIVE-S-Spring-E4RNHFR-10122-3.80mm,C_010,S-Spring-E4RNHFR-10122-3.80mm
KBI-SPRING ASS'Y(CAM SPRING)-GL951-X40-00-1.80mm,C_001,SPRING ASS'Y(CAM SPRING)-GL951-X40-00-1.80mm
Rishaba-COMPRESSION SPRING-3mm Dia * 27mm Length-0.50mm,C_034,COMPRESSION SPRING-3mm Dia * 27mm Length-0.50mm
ACCURATE PRODUCTS-SPRING-CP 330-0.40mm,C_035,SPRING-CP 330-0.40mm
ACCURATE PRODUCTS-SPRING-CP 426-0.45mm,C_035,SPRING-CP 426-0.45mm
TI CLEAN MOBILITY-TENSIONER SPRING-2AKA12C058-1.00mm,C_033,TENSIONER SPRING-2AKA12C058-1.00mm
ROTORK-TORQUE/LIMIT ACTUATER LH-B1851-1.50mm,C_003,TORQUE/LIMIT ACTUATER LH-B1851-1.50mm
ROTORK-TORQUE/LIMIT ACTUATER RH-B1852-1.50mm,C_003,TORQUE/LIMIT ACTUATER RH-B1852-1.50mm
ROTORK-LATCH SWPRING SPACER-20482-0.50mm,C_003,LATCH SWPRING SPACER-20482-0.50mm
ROTORK-TORQUE CAM SPACER-20486-1.60mm,C_003,TORQUE CAM SPACER-20486-1.60mm
ROTORK-FINGER K150 YOKE ASSEMBLY-24946-3.00mm,C_003,FINGER K150 YOKE ASSEMBLY-24946-3.00mm
ROTORK-INDICATER DRIVE MOUNTING PLATE APD-26285-3.00mm,C_003,INDICATER DRIVE MOUNTING PLATE APD-26285-3.00mm
ROTORK-GEAR FRONT PLATE-B2510-2.00mm,C_003,GEAR FRONT PLATE-B2510-2.00mm
ROTORK-LOCAL/REMOTE SWICH PLATE-31389-1.60mm,C_003,LOCAL/REMOTE SWICH PLATE-31389-1.60mm
ROTORK-OPEN/CLOSE SWITCH PLATE-31390-1.60mm,C_003,OPEN/CLOSE SWITCH PLATE-31390-1.60mm
ROTORK-CLAMP RING-31364-3.00mm,C_003,CLAMP RING-31364-3.00mm
ROTORK-DRIVE SLEEVE RETAINING PLATE-B2639-1.00mm,C_003,DRIVE SLEEVE RETAINING PLATE-B2639-1.00mm
ROTORK-PAWL RH-20412-1.00mm,C_003,PAWL RH-20412-1.00mm
ROTORK-PAWL LH-20412-1.00mm,C_003,PAWL LH-20412-1.00mm
ROTORK-HEATER MOUNTING BRACKET-19537-0.90mm,C_004,HEATER MOUNTING BRACKET-19537-0.90mm
ROTORK-CAMSPACER APD-B0428-0.50mm,C_004,CAMSPACER APD-B0428-0.50mm
